#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
184,Jordan Lyles,KCR,22,31,136.2,7,10,7,0,0,149,82,26,97,40,6.38,2.66,2.4,1.69,0.273,1.38,0.291,65.20%,5.41,5.29,744.3,3.22,1,2.14
185,Jared Jones,PIT,11,11,59.2,3,4,3,0,0,59,32,8,54,25,8.07,3.8,2.12,1.26,0.255,1.42,0.299,68.00%,4.86,4.72,999,1.99,-0.63,0.31
186,Roansy Contreras,PIT,8,40,77.1,3,5,2,0,3,74,39,11,71,29,8.26,3.37,2.45,1.29,0.249,1.33,0.291,69.30%,4.54,4.51,625.7,2.83,-0.55,0.22
187,Pedro Avila,SDP,13,22,76,3,5,3,0,1,73,37,10,68,34,8.04,4.05,1.99,1.13,0.25,1.42,0.295,71.00%,4.44,4.68,721.3,6.48,-2.09,0.38
188,Matthew Liberatore,STL,7,29,57.2,3,4,1,0,3,57,29,7,50,23,7.8,3.55,2.19,1.05,0.255,1.39,0.302,68.60%,4.54,4.38,691.1,4.59,-0.67,0.34
189,Trevor Bauer,,8,8,45.1,2,3,3,0,0,38,20,8,49,15,9.79,3.07,3.19,1.53,0.226,1.19,0.273,75.40%,3.91,4.46,530,0.85,0.67,0.87
190,Spencer Turnbull,PHI,9,24,58.2,3,4,2,0,1,62,32,8,49,24,7.6,3.66,2.08,1.16,0.267,1.46,0.311,67.60%,4.93,4.67,694.5,11.89,-1.97,0.38
191,Zack Thompson,STL,6,29,57.1,3,4,2,0,1,54,27,7,56,25,8.73,3.96,2.2,1.09,0.246,1.39,0.299,71.70%,4.26,4.34,649.1,1.8,0.04,0.39
192,Lance McCullers Jr.,HOU,6,12,38.2,3,2,3,0,0,34,16,4,39,17,9,3.91,2.3,1,0.23,1.3,0.285,73.50%,3.8,4.15,678.8,2.5,0.46,0.81
193,Joe Boyle,OAK,16,25,91,6,6,6,0,1,75,45,11,99,59,9.77,5.87,1.66,1.04,0.222,1.48,0.282,71.60%,4.44,4.69,425.8,2.51,0.74,0.98
194,Noah Syndergaard,,15,15,82,4,6,4,0,0,91,48,14,55,20,6.03,2.22,2.71,1.53,0.278,1.36,0.298,65.10%,5.22,5.04,732,1.67,0.34,0.76
195,Tyler Mahle,TEX,7,13,43.1,2,2,3,0,0,39,20,7,45,15,9.26,3.16,2.92,1.56,0.236,1.25,0.279,73.40%,4.22,4.6,650.6,2.33,-1.24,0.73
196,Cole Irvin,BAL,8,34,74.2,3,5,3,0,1,77,36,11,58,17,6.95,2.04,3.4,1.32,0.263,1.26,0.295,69.60%,4.36,4.46,565.5,2.65,-0.58,0.41
197,Kai-Wei Teng,SFG,5,30,57.1,3,3,1,0,1,53,29,6,59,28,9.2,4.47,2.06,0.97,0.242,1.42,0.303,69.20%,4.49,4.35,999,2.84,-0.82,0.32
198,Luis L. Ortiz,PIT,18,24,101.1,5,7,4,0,1,106,55,14,75,46,6.68,4.09,1.63,1.23,0.266,1.5,0.297,70.00%,4.85,5.02,688.7,2,1.24,1.26
199,Jackson Rutledge,WSN,14,19,78,4,5,4,0,1,82,46,13,58,31,6.69,3.61,1.85,1.45,0.265,1.45,0.291,66.30%,5.28,5.27,999,2.53,0.32,0.79
200,Joey Lucchesi,NYM,7,19,48.1,3,3,2,0,1,48,23,6,39,18,7.26,3.38,2.15,1.19,0.254,1.36,0.29,71.70%,4.29,4.6,700.2,3.06,0.72,0.56
201,Ryan Yarbrough,LAD,5,33,64,4,4,2,0,1,67,33,10,51,14,7.14,1.91,3.74,1.4,0.265,1.26,0.297,67.90%,4.57,4.55,623.4,1.59,-0.52,0.49
202,Angel Zerpa,KCR,5,25,45.2,2,3,1,0,1,47,22,6,38,14,7.44,2.76,2.69,1.15,0.26,1.33,0.3,69.60%,4.37,4.33,750.9,1.8,-0.43,0.63
203,Brandon Walter,BOS,6,10,39,1,2,2,0,0,43,21,5,30,13,6.88,2.9,2.37,1.2,0.274,1.42,0.31,68.30%,4.77,4.57,999,3.21,-1.1,0.64
204,Rich Hill,,12,13,64.1,4,5,2,0,0,66,35,10,54,24,7.61,3.32,2.29,1.45,0.262,1.4,0.297,68.70%,4.9,4.92,999,1.59,-1.14,0.34
205,Connor Phillips,CIN,5,17,35.1,2,2,2,0,0,32,18,5,40,19,10.29,4.8,2.15,1.27,0.236,1.43,0.301,70.10%,4.69,4.56,640.9,1.99,-0.41,0.58
206,Tommy Henry,ARI,12,24,78,4,4,4,0,1,79,41,11,61,33,7.02,3.75,1.87,1.28,0.259,1.43,0.291,69.10%,4.79,4.92,705.5,2.28,-1.72,0.52
207,José Suarez,LAA,7,32,61.2,3,4,2,0,1,61,32,10,56,24,8.25,3.5,2.36,1.41,0.253,1.37,0.294,70.30%,4.65,4.75,745.1,2.62,-1.18,0.26
208,Cade Cavalli,WSN,7,19,49,3,3,3,0,1,46,24,6,48,22,8.73,3.98,2.19,1.15,0.243,1.38,0.294,69.70%,4.49,4.65,643.6,1.5,-1.8,0.45
209,Ben Brown,CHC,3,21,36.2,2,2,1,0,1,32,17,4,40,16,9.83,3.95,2.49,1.05,0.234,1.32,0.298,71.40%,4.11,4.04,999,1.75,-0.73,0.75
210,Slade Cecconi,ARI,6,25,51,2,3,2,0,1,52,26,8,43,13,7.66,2.33,3.28,1.35,0.259,1.27,0.296,68.20%,4.53,4.45,738.6,1.37,-1.89,0.64
211,Hayden Wesneski,CHC,7,29,64,3,4,2,0,2,60,31,10,60,22,8.45,3.08,2.74,1.44,0.246,1.29,0.286,71.60%,4.35,4.62,573.4,1.83,-0.03,0.39
212,Trevor Williams,WSN,19,33,113.2,5,7,4,0,1,127,65,21,87,38,6.91,3.04,2.28,1.7,0.278,1.45,0.303,69.90%,5.15,5.32,750.5,3.94,-2.1,1.48
213,Jake Odorizzi,,10,10,52.2,3,4,3,0,0,54,28,9,42,18,7.28,3.06,2.38,1.47,0.262,1.37,0.293,68.50%,4.87,4.89,750.2,2.19,0.64,0.4
