#,Name,Team,W,L,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
850,Zach Logue,ATL,1,1,6.01,6,1,0,0,13,58,15,9,9,3,5,0,0,10
851,Daniel Duarte,,2,0,4.37,22,0,1,2,22.1,97,19,12,11,3,12,0,1,19
852,Jake Woodford,CHW,1,2,4.73,19,1,0,1,25.1,111,27,14,13,4,10,0,1,19
853,José Marte,LAA,1,0,5.22,13,0,0,2,12.2,58,12,8,7,2,9,0,0,13
854,Joe Barlow,,1,1,4.44,13,0,0,1,12,52,12,6,6,2,5,0,0,10
855,Nick Wittgren,,1,1,4.92,22,0,0,1,23,100,24,14,13,3,8,0,2,17
856,Trevor Kelley,SEA,0,1,5.1,12,1,0,1,13.1,58,13,8,8,3,5,1,1,11
857,Jimmy Nelson,,1,1,5.3,19,0,0,0,19.1,87,18,12,11,3,12,0,2,21
858,Riley Pint,COL,1,1,5.45,20,0,0,2,16,77,16,11,10,2,14,0,1,16
859,Ronel Blanco,HOU,3,2,4.43,40,2,0,5,49.2,216,46,27,25,8,23,1,3,51
860,Tony Santillan,CIN,1,1,5.12,24,0,0,2,25.1,116,25,16,14,4,16,3,2,26
861,Brent Honeywell,PIT,1,2,4.94,25,0,0,2,29.2,130,31,18,16,5,12,0,2,26
862,Jaime Barria,CLE,1,2,4.78,18,1,0,1,30.1,130,32,17,16,5,9,1,1,22
863,Daniel Bard,COL,3,3,4.84,48,0,2,7,50,230,46,29,27,6,35,2,4,50
864,Joey Krehbiel,SEA,0,0,4.85,8,0,0,1,8,36,8,5,4,1,4,0,0,7
865,Peyton Battenfield,NYM,0,3,5.07,10,2,0,0,19.2,85,20,12,11,4,7,0,1,15
866,Matt Carasiti,COL,1,1,5.43,20,0,0,4,22.2,104,27,15,14,3,11,0,1,17
867,McKinley Moore,NYY,1,1,4.71,16,0,0,1,17,77,15,10,9,3,10,0,3,18
868,José Ureña,TEX,1,2,5.09,19,2,0,1,27.1,122,31,17,16,5,11,0,1,20
869,Sean Reynolds,,1,1,5.07,19,0,0,1,19.2,88,18,12,11,3,11,0,1,19
870,Andrés Machado,,1,1,4.56,27,0,0,3,31,133,31,17,16,5,11,1,2,27
871,Justin Dunn,,1,2,5.49,4,4,0,0,20,89,19,13,12,4,10,0,1,16
872,Cory Abbott,,1,1,5.19,10,2,0,1,19,84,18,12,11,4,9,0,1,19
873,Mychal Givens,,2,3,4.53,36,0,1,6,33.1,147,31,18,17,5,16,3,3,33
874,Cole Winn,TEX,2,2,5.38,16,1,0,1,22.1,104,23,15,13,3,14,0,1,20
875,Garrett Hill,DET,1,1,4.83,17,0,0,2,20.1,91,20,12,11,3,11,0,1,19
876,Jeremiah Estrada,SDP,1,1,4.5,24,0,0,1,24.1,107,21,13,12,4,14,1,1,28
877,Levi Stoudt,SEA,1,1,5.41,11,1,0,1,16.2,75,18,11,10,3,8,0,1,13
878,Jeff Brigham,,1,2,4.77,26,0,0,4,28,119,24,16,15,5,13,0,2,30
879,Sam Coonrod,,1,1,5.13,31,0,0,3,28.2,130,28,18,16,3,15,0,4,27
880,Hunter Gaddis,CLE,2,2,5.28,16,3,0,1,32.1,141,34,21,19,6,12,0,2,25
881,Trent Thornton,SEA,3,3,4.1,46,0,0,8,54,233,53,27,25,8,21,1,2,47
882,Dominic Leone,,1,2,4.53,32,0,0,3,32.2,142,31,18,16,5,15,1,1,33
